121.1_0_331:E: Re(Ez) vs t, x=1.211e-07(m), y=0(m), z=3.31e-07(m) 

t(fs), Re(Ez)
108.451, -0.0207247
108.453, -0.0206953
108.455, -0.020647
108.457, -0.0205927
108.46, -0.0205143
108.462, -0.020446
108.464, -0.0203571
108.467, -0.0202574
108.469, -0.0201145
108.471, -0.0199714
108.473, -0.0198061
108.476, -0.0196179
108.478, -0.0194289
108.48, -0.0191963
108.483, -0.0189468
108.485, -0.0186761
108.487, -0.0183741
108.489, -0.0180743
108.492, -0.0177317
108.494, -0.0173628
108.496, -0.0169877
108.499, -0.0165832
108.501, -0.016153
108.503, -0.0156891
108.505, -0.0152296
108.508, -0.014748
108.51, -0.0142699
108.512, -0.0137635
108.515, -0.0132244
108.517, -0.0126995
108.519, -0.0121492
108.521, -0.0115884
108.524, -0.011034
108.526, -0.0104791
108.528, -0.00992807
108.531, -0.00935693
108.533, -0.00879815
108.535, -0.008247
108.537, -0.00770585
108.54, -0.00717674
108.542, -0.00664652
108.544, -0.00612204
108.547, -0.00562099
108.549, -0.00513382
108.551, -0.00466487
108.554, -0.00419435
108.556, -0.00376075
108.558, -0.00333246
108.56, -0.00291443
108.563, -0.00253705
108.565, -0.00217677
108.567, -0.00183164
108.57, -0.00150256
108.572, -0.00118128
108.574, -0.000895049
108.576, -0.000610392
108.579, -0.000352881
108.581, -9.5134e-05
108.583, 0.000126008
108.586, 0.000360664
108.588, 0.000575269
108.59, 0.000775607
108.592, 0.000978199
108.595, 0.00115719
108.597, 0.00135728
108.599, 0.00154373
108.602, 0.00173572
108.604, 0.00192446
108.606, 0.00212367
108.608, 0.00233694
108.611, 0.00253962
108.613, 0.00277187
108.615, 0.00301085
108.618, 0.00327027
108.62, 0.00356232
108.622, 0.00384822
108.624, 0.00416071
108.627, 0.0044868
108.629, 0.00484394
108.631, 0.00522455
108.634, 0.00562663
108.636, 0.00606444
108.638, 0.0065251
108.64, 0.00700245
108.643, 0.00749728
108.645, 0.00806228
108.647, 0.00862726
108.65, 0.00918316
108.652, 0.00978821
108.654, 0.0104204
108.656, 0.0110792
108.659, 0.0117538
108.661, 0.0124534
108.663, 0.0131497
108.666, 0.013876
108.668, 0.0146028
108.67, 0.0153369
108.672, 0.0160993
108.675, 0.0168518
108.677, 0.0176009
108.679, 0.0183718
108.682, 0.0191427
108.684, 0.0198932
108.686, 0.0206308
108.688, 0.0213702
108.691, 0.0220851
108.693, 0.0228041
108.695, 0.0234955
108.698, 0.0241799
108.7, 0.0248299
108.702, 0.0254689
108.705, 0.0260561
108.707, 0.0266271
108.709, 0.0271915
108.711, 0.0277235
108.714, 0.0282019
108.716, 0.0286479
108.718, 0.0290908
108.721, 0.0294811
108.723, 0.0298484
108.725, 0.0301952
108.727, 0.0304957
108.73, 0.0307606
108.732, 0.0309904
108.734, 0.0312019
108.737, 0.0313825
108.739, 0.0315532
108.741, 0.0316845
108.743, 0.0317746
108.746, 0.0318533
108.748, 0.0319178
108.75, 0.0319719
108.753, 0.0319873
108.755, 0.032007
108.757, 0.0320124
108.759, 0.0319962
108.762, 0.0319834
108.764, 0.0319724
108.766, 0.031958
108.769, 0.0319354
108.771, 0.0319331
108.773, 0.0319118
108.775, 0.031914
108.778, 0.0319243
108.78, 0.0319457
108.782, 0.0319794
108.785, 0.0320302
108.787, 0.0320913
108.789, 0.0321714
108.791, 0.0322585
108.794, 0.0323834
108.796, 0.0325113
108.798, 0.032674
108.801, 0.0328442
108.803, 0.0330415
108.805, 0.0332628
108.807, 0.0334896
108.81, 0.0337389
108.812, 0.0340201
108.814, 0.0343036
108.817, 0.0346209
108.819, 0.0349375
108.821, 0.0352641
108.823, 0.0356086
108.826, 0.0359604
108.828, 0.0363176
108.83, 0.0366862
108.833, 0.0370524
108.835, 0.0374204
108.837, 0.0377986
108.839, 0.0381709
108.842, 0.0385267
108.844, 0.0388679
108.846, 0.0392079
108.849, 0.0395391
108.851, 0.039856
108.853, 0.0401665
108.856, 0.0404348
108.858, 0.0406851
108.86, 0.0409298
108.862, 0.0411381
108.865, 0.0413201
108.867, 0.0414955
108.869, 0.0416385
108.872, 0.0417324
108.874, 0.0418136
108.876, 0.0418627
108.878, 0.0418973
108.881, 0.0419003
108.883, 0.0418695
108.885, 0.04181
108.888, 0.0417282
108.89, 0.0415991
108.892, 0.041456
108.894, 0.0412988
108.897, 0.0411222
108.899, 0.0409071
108.901, 0.040681
108.904, 0.0404408
108.906, 0.0401902
108.908, 0.0399077
108.91, 0.0396237
108.913, 0.039328
108.915, 0.0389906
108.917, 0.0386771
108.92, 0.0383658
108.922, 0.0380559
108.924, 0.0377198
108.926, 0.0373976
108.929, 0.0370714
